Name,Sex,Age,Team,NOC,Sport,Medal
Li Xiaoshuang,M,22,China,CHN,Gymnastics,Gold
Li Xiaoxia,F,24,China,CHN,Table Tennis,Gold
Li Xiaoxia,F,24,China,CHN,Table Tennis,Gold
Li Xiaoxia,F,28,China,CHN,Table Tennis,Gold
Li Xuerui,F,21,China,CHN,Badminton,Gold
Li Xueying,F,22,China,CHN,Weightlifting,Gold
Li Yanjun,F,21,China,CHN,Volleyball,Gold
Li Yuwei,M,19,China,CHN,Shooting,Gold
Liang Yan,F,22,China,CHN,Volleyball,Gold
Liao Hui,M,20,China,CHN,Weightlifting,Gold
Eric Henry Liddell,M,22,Great Britain,GBR,Athletics,Gold
Nicklas Erik Lidstrm,M,35,Sweden,SWE,Ice Hockey,Gold
Tom Liebscher,M,23,Germany,GER,Canoeing,Gold
Nils Erik Liedholm,M,25,Sweden,SWE,Football,Gold
"William Barner ""Bill"" Lienhard",M,22,United States,USA,Basketball,Gold
Julia Lier,F,24,Germany,GER,Rowing,Gold
"Theodore Sharp ""Ted"" Ligety",M,21,United States,USA,Alpine Skiing,Gold
"Theodore Sharp ""Ted"" Ligety",M,29,United States,USA,Alpine Skiing,Gold
Kevin Richard Light,M,29,Canada,CAN,Rowing,Gold
"James Davies ""Jim"" Lightbody",M,22,United States,USA,Athletics,Gold
"James Davies ""Jim"" Lightbody",M,22,United States,USA,Athletics,Gold
"James Davies ""Jim"" Lightbody",M,22,United States,USA,Athletics,Gold
"James Davies ""Jim"" Lightbody",M,24,United States,USA,Athletics,Gold
Elis Ligtlee,F,22,Netherlands,NED,Cycling,Gold
Magnus Liljedahl,M,46,United States,USA,Sailing,Gold
"Gustaf Malcolm ""Gsta"" Lilliehk",M,27,Sweden,SWE,Modern Pentathlon,Gold
Kristine Marie Lilly (-Heavey),F,24,United States,USA,Football,Gold
Kristine Marie Lilly (-Heavey),F,33,United States,USA,Football,Gold
Lin Dan,M,24,China,CHN,Badminton,Gold
Lin Dan,M,28,China,CHN,Badminton,Gold
Lin Li,F,24,China,CHN,Volleyball,Gold
Lin Li,F,21,China,CHN,Swimming,Gold
Lin Qingfeng,M,23,China,CHN,Weightlifting,Gold
Lin Weining,F,21,China,CHN,Weightlifting,Gold
Lin Yue,M,17,China,CHN,Diving,Gold
Lin Yue,M,25,China,CHN,Diving,Gold
Omar Linares Izquierdo,M,24,Cuba,CUB,Baseball,Gold
Omar Linares Izquierdo,M,28,Cuba,CUB,Baseball,Gold
Nicolae Linca,M,27,Romania,ROU,Boxing,Gold
Bjrn Johan Lind,M,27,Sweden,SWE,Cross Country Skiing,Gold
Bjrn Johan Lind,M,27,Sweden,SWE,Cross Country Skiing,Gold
Caroline Lind,F,25,United States,USA,Rowing,Gold
Caroline Lind,F,29,United States,USA,Rowing,Gold
Axel Leander Lindahl,M,26,Sweden,SWE,Athletics,Gold
Eva Cathrine Lindahl (Norberg-),F,35,Sweden,SWE,Curling,Gold
Eva Cathrine Lindahl (Norberg-),F,39,Sweden,SWE,Curling,Gold
Karl Fritz Lindahl,M,29,Sweden,SWE,Gymnastics,Gold
"Edward Ferdinand Jacob ""Ed"" Lindberg",M,25,United States,USA,Athletics,Gold
Karin Elisabet Lindberg (-Lindn),F,22,Sweden,SWE,Gymnastics,Gold
Torsten Gustav Adolf Lindberg,M,31,Sweden,SWE,Football,Gold
"Gustaf ""Topsy"" Lindblom",M,20,Sweden,SWE,Athletics,Gold
Ernst Linder,M,56,Sweden,SWE,Equestrianism,Gold
August Ludvig Lindgren,M,22,Denmark,DEN,Football,Gold
"Alfred Damon ""Al"" Lindley",M,20,United States,USA,Rowing,Gold
Bo Sigfrid Gabriel Lindman,M,25,Sweden,SWE,Modern Pentathlon,Gold
Karl Edmund Lindmark,M,25,Sweden,SWE,Gymnastics,Gold
"Carl Victor ""Vic"" Lindquist",M,23,Canada,CAN,Ice Hockey,Gold
Eric Bryan Lindros,M,28,Canada,CAN,Ice Hockey,Gold
Andrew James Ronald Lindsay,M,23,Great Britain,GBR,Rowing,Gold
Robert Alexander Lindsay,M,30,Great Britain,GBR,Athletics,Gold
Carl Herbert Lindstrm,M,26,Sweden,SWE,Tug-Of-War,Gold
Karl Link,M,22,Germany,GER,Cycling,Gold
Hermann Linkenbach,M,39,Germany,GER,Equestrianism,Gold
Jeremy Porter Linn,M,21,United States,USA,Swimming,Gold
"Danielle ""Dani"" Rodrigues Lins",F,27,Brazil,BRA,Volleyball,Gold
Robert Gustave douard Liottel,M,38,France,FRA,Fencing,Gold
Kazimierz Lipie,M,27,Poland,POL,Wrestling,Gold
Tara Kristen Lipinski (-Kapostasy),F,15,United States,USA,Figure Skating,Gold
Yuliya Vyacheslavovna Lipnitskaya,F,15,Russia,RUS,Figure Skating,Gold
Curt Ewald Rudolf Lippert,M,35,Germany,GER,Equestrianism,Gold
Alexandre Auguste Lippmann,M,26,France,FRA,Fencing,Gold
Alexandre Auguste Lippmann,M,42,France,FRA,Fencing,Gold
Henry Charles Littlewort,M,29,Great Britain,GBR,Football,Gold
Mria Littomeritzky (-Bognr),F,25,Hungary,HUN,Swimming,Gold
Artur Sergeyevich Litvinchuk,M,20,Belarus,BLR,Canoeing,Gold
Jrgen Litz,M,21,Germany,GER,Rowing,Gold
Liu Chunhong,F,21,China,CHN,Weightlifting,Gold
Liu Chunhong,F,25,China,CHN,Weightlifting,Gold
Liu Guoliang,M,20,China,CHN,Table Tennis,Gold
Liu Hong,F,29,China,CHN,Athletics,Gold
Liu Huixia,F,18,China,CHN,Diving,Gold
Liu Shiwen,F,25,China,CHN,Table Tennis,Gold
Liu Xiang,M,21,China,CHN,Athletics,Gold
Liu Xiaotong,F,26,China,CHN,Volleyball,Gold
Liu Xuan,F,21,China,CHN,Gymnastics,Gold
Liu Yanan,F,23,China,CHN,Volleyball,Gold
Liu Zige,F,19,China,CHN,Swimming,Gold
"Anastasiya Valeryevna ""Nastia"" Liukin",F,18,United States,USA,Gymnastics,Gold
Stefan Daniel Patryk Liv (li-),M,25,Sweden,SWE,Ice Hockey,Gold
Brent James Livermore,M,28,Australia,AUS,Hockey,Gold
Harald Axel Fredrik Ljung,M,24,Sweden,SWE,Gymnastics,Gold
Bo Urban Mikael Ljungberg,M,30,Sweden,SWE,Wrestling,Gold
John Arthur Ljunggren,M,28,Sweden,SWE,Athletics,Gold
Joan Llaneras Rossell,M,31,Spain,ESP,Cycling,Gold
Joan Llaneras Rossell,M,39,Spain,ESP,Cycling,Gold
"Henry Morton ""Harry"" Llewellyn",M,40,Great Britain,GBR,Equestrianism,Gold
Andrea Lane Lloyd (-Curry),F,23,United States,USA,Basketball,Gold
Carli Anne Lloyd (-Hollins),F,26,United States,USA,Football,Gold
Carli Anne Lloyd (-Hollins),F,30,United States,USA,Football,Gold
Danyon Joseph Loader,M,21,New Zealand,NZL,Swimming,Gold
Danyon Joseph Loader,M,21,New Zealand,NZL,Swimming,Gold
Rebecca Rose Lobo (-Rushin),F,22,United States,USA,Basketball,Gold
Ugo Locatelli,M,20,Italy,ITA,Football,Gold
Felix Loch,M,20,Germany,GER,Luge,Gold
Felix Loch,M,24,Germany,GER,Luge,Gold
Felix Loch,M,24,Germany,GER,Luge,Gold
Ryan Steven Lochte,M,20,United States,USA,Swimming,Gold
Ryan Steven Lochte,M,24,United States,USA,Swimming,Gold
Ryan Steven Lochte,M,24,United States,USA,Swimming,Gold
Ryan Steven Lochte,M,27,United States,USA,Swimming,Gold
Ryan Steven Lochte,M,27,United States,USA,Swimming,Gold
Ryan Steven Lochte,M,32,United States,USA,Swimming,Gold
Vivian Noverre Lockett,M,39,Great Britain,GBR,Polo,Gold
Yves Loday,M,36,France,FRA,Sailing,Gold
Esther Ruth  Lofgren,F,27,United States,USA,Rowing,Gold
"Eleanor ""Elle"" Logan",F,20,United States,USA,Rowing,Gold
"Eleanor ""Elle"" Logan",F,24,United States,USA,Rowing,Gold
"Eleanor ""Elle"" Logan",F,28,United States,USA,Rowing,Gold
"Charles Paul ""Charlie"" Logg, Jr.",M,21,United States,USA,Rowing,Gold
Tatyana Yuryevna Logunova,F,20,Russia,RUS,Fencing,Gold
Tatyana Yuryevna Logunova,F,24,Russia,RUS,Fencing,Gold
Vasyl Anatoliyovich Lomachenko,M,20,Ukraine,UKR,Boxing,Gold
Vasyl Anatoliyovich Lomachenko,M,24,Ukraine,UKR,Boxing,Gold
"Abraham Robertus ""Bram"" Lomans",M,21,Netherlands,NED,Hockey,Gold
"Abraham Robertus ""Bram"" Lomans",M,25,Netherlands,NED,Hockey,Gold
Giovanni Lombardi,M,23,Italy,ITA,Cycling,Gold
Pietro Lombardi,M,26,Italy,ITA,Wrestling,Gold
"Dallas Crutcher Long, III",M,24,United States,USA,Athletics,Gold
"Maxwell Warburn ""Maxey"" Long",M,21,United States,USA,Athletics,Gold
Long Qingquan,M,17,China,CHN,Weightlifting,Gold
Long Qingquan,M,25,China,CHN,Weightlifting,Gold
Jeannie Longo-Ciprelli,F,37,France,FRA,Cycling,Gold
Tom George Longstaff,M,49,Great Britain,GBR,Alpinism,Gold
Karl Algot Lnn,M,24,Sweden,SWE,Cycling,Gold
Anita Lonsbrough (-Porter),F,19,Great Britain,GBR,Swimming,Gold
Gianni Lonzi,M,22,Italy,ITA,Water Polo,Gold
Per Hkan Loob,M,33,Sweden,SWE,Ice Hockey,Gold
Fredrik Max Emil Lf,M,42,Sweden,SWE,Sailing,Gold
Lorne Kenneth Loomer,M,19,Canada,CAN,Rowing,Gold
"Frank Farmer Loomis, Jr.",M,23,United States,USA,Athletics,Gold
Shelley Looney,F,26,United States,USA,Ice Hockey,Gold
Arlen Lpez Cardona,M,23,Cuba,CUB,Boxing,Gold
Juan Martn Lpez,M,31,Argentina,ARG,Hockey,Gold
"Juan Manuel ""Juanma"" Lpez Martnez",M,22,Spain,ESP,Football,Gold
Mijan Lpez Nez,M,25,Cuba,CUB,Wrestling,Gold
Mijan Lpez Nez,M,29,Cuba,CUB,Wrestling,Gold
Mijan Lpez Nez,M,33,Cuba,CUB,Wrestling,Gold
Nicolas Pierre Lopez,M,27,France,FRA,Fencing,Gold
Steven Lopez,M,21,United States,USA,Taekwondo,Gold
Steven Lopez,M,25,United States,USA,Taekwondo,Gold
Martn Lpez-Zubero Purcell,M,23,Spain,ESP,Swimming,Gold
Gyula Lrnt (Lipovics),M,29,Hungary,HUN,Football,Gold
Carl Lorenz,M,22,Germany,GER,Cycling,Gold
Mrton Lrincz,M,24,Hungary,HUN,Wrestling,Gold
Patrik Lrtscher,M,37,Switzerland,SUI,Curling,Gold
Venio Losert,M,19,Croatia,CRO,Handball,Gold
Venio Losert,M,28,Croatia,CRO,Handball,Gold
Lou Yun,M,20,China,CHN,Gymnastics,Gold
Lou Yun,M,24,China,CHN,Gymnastics,Gold
"Gregory Efthimios ""Greg"" Louganis",M,24,United States,USA,Diving,Gold
"Gregory Efthimios ""Greg"" Louganis",M,24,United States,USA,Diving,Gold
"Gregory Efthimios ""Greg"" Louganis",M,28,United States,USA,Diving,Gold
"Gregory Efthimios ""Greg"" Louganis",M,28,United States,USA,Diving,Gold
"Spyridon ""Spyros"" Louis",M,23,Greece,GRE,Athletics,Gold
Constantine Michael Louloudis,M,24,Great Britain,GBR,Rowing,Gold
Kevin Wesley Love,M,23,United States,USA,Basketball,Gold
Lea E. Loveless (-Maurer),F,21,United States,USA,Swimming,Gold
Santiago Alberto Lovell Birnes,M,20,Argentina,ARG,Boxing,Gold
Clyde Edward Lovellette,M,22,United States,USA,Basketball,Gold
"John Edward ""Jack"" Lovelock",M,26,New Zealand,NZL,Athletics,Gold
Douglas Gordon Arthur Lowe,M,21,Great Britain,GBR,Athletics,Gold
Douglas Gordon Arthur Lowe,M,25,Great Britain,GBR,Athletics,Gold
Kyle Lowry,M,30,United States,USA,Basketball,Gold
Francesco Loy,M,21,Italy,ITA,Gymnastics,Gold
Francesco Loy,M,29,Italy,ITA,Gymnastics,Gold
Lu Chunlong,M,19,China,CHN,Trampolining,Gold
Lu Li,F,15,China,CHN,Gymnastics,Gold
Lu Xiaojun,M,27,China,CHN,Weightlifting,Gold
Lu Yong,M,22,China,CHN,Weightlifting,Gold
Luan Guilherme de Jesus Vieira,M,23,Brazil,BRA,Football,Gold
Jujie Luan,F,26,China,CHN,Fencing,Gold
Luan Garcia Teixeira,M,23,Brazil,BRA,Football,Gold
Wodzimierz Leonard Lubaski,M,25,Poland,POL,Football,Gold
Zbigniew Lubiejewski,M,26,Poland,POL,Volleyball,Gold
Frank John Lubin,M,26,United States,USA,Basketball,Gold
Ricardo Samuel Lucarelli Santos de Souza,M,24,Brazil,BRA,Volleyball,Gold
Vittorio Lucarelli,M,28,Italy,ITA,Fencing,Gold
Jerry Ray Lucas,M,20,United States,USA,Basketball,Gold
Vittorio Lucchetti,M,25,Italy,ITA,Gymnastics,Gold
Vittorio Lucchetti,M,29,Italy,ITA,Gymnastics,Gold
Jean-Michel Lucenay,M,38,France,FRA,Fencing,Gold
Frank Luck,M,26,Germany,GER,Biathlon,Gold
Frank Luck,M,30,Germany,GER,Biathlon,Gold
Alejandrina Mireya Luis Hernndez,F,24,Cuba,CUB,Volleyball,Gold
Alejandrina Mireya Luis Hernndez,F,28,Cuba,CUB,Volleyball,Gold
Alejandrina Mireya Luis Hernndez,F,33,Cuba,CUB,Volleyball,Gold
Omar Luis Martnez,M,24,Cuba,CUB,Baseball,Gold
Luis Enrique Martnez Garca,M,22,Spain,ESP,Football,Gold
Luiz Felipe Marques Fonteles,M,32,Brazil,BRA,Volleyball,Gold
Igor Vladimirovich Lukashin,M,21,Russia,RUS,Diving,Gold
"Virgil William ""Virg"" Luken",M,22,United States,USA,Swimming,Gold
"Dinko ""Dean"" Lukin",M,24,Australia,AUS,Weightlifting,Gold
"Raymond George ""Ray"" Lumpp",M,25,United States,USA,Basketball,Gold
Eva Maria Lund (-Eriksson),F,34,Sweden,SWE,Curling,Gold
Eva Maria Lund (-Eriksson),F,38,Sweden,SWE,Curling,Gold
Sven-ke Lundbck,M,24,Sweden,SWE,Cross Country Skiing,Gold
Janne Lundblad,M,43,Sweden,SWE,Equestrianism,Gold
ke Lundeberg,M,23,Sweden,SWE,Shooting,Gold
ke Lundeberg,M,23,Sweden,SWE,Shooting,Gold
Carl August Leonard Lundquist,M,20,Sweden,SWE,Cycling,Gold
"Stephen K. ""Steve"" Lundquist",M,23,United States,USA,Swimming,Gold
"Stephen K. ""Steve"" Lundquist",M,23,United States,USA,Swimming,Gold
Erik Hjalmar Lundqvist,M,19,Sweden,SWE,Athletics,Gold
Bjrn Henrik Lundqvist,M,23,Sweden,SWE,Ice Hockey,Gold
"Johan August ""ge"" Lundstrm",M,29,Sweden,SWE,Equestrianism,Gold
"Johan August ""ge"" Lundstrm",M,33,Sweden,SWE,Equestrianism,Gold
Klas Julius Lundstrm,M,23,Sweden,SWE,Athletics,Gold
Bo Hilding Martin Lundstrm,M,29,Sweden,SWE,Cross Country Skiing,Gold
Bo Hilding Martin Lundstrm,M,29,Sweden,SWE,Cross Country Skiing,Gold
Luo Wei,F,21,China,CHN,Taekwondo,Gold
Luo Xiaojuan,F,28,China,CHN,Fencing,Gold
Luo Xuejuan,F,20,China,CHN,Swimming,Gold
Luo Yutong,M,26,China,CHN,Diving,Gold
Roberto Luongo,M,30,Canada,CAN,Ice Hockey,Gold
Roberto Luongo,M,34,Canada,CAN,Ice Hockey,Gold
Mario Lusiani,M,25,Italy,ITA,Cycling,Gold
Friedrich Lthi,M,49,Switzerland,SUI,Shooting,Gold
Alfons Ltke Westhues (Hohenbrink-),M,26,Germany,GER,Equestrianism,Gold
Manuela Lutze,F,26,Germany,GER,Rowing,Gold
Manuela Lutze,F,30,Germany,GER,Rowing,Gold
Germn Daro Lux,M,22,Argentina,ARG,Football,Gold
Ricci Judson Luyties,M,26,United States,USA,Volleyball,Gold
Cdric Vincent Simon Lyard,M,32,France,FRA,Equestrianism,Gold
Per Pedersen Lyngemark,M,27,Denmark,DEN,Cycling,Gold
George Seymour Lyon,M,45,Canada,CAN,Golf,Gold
"David Chandler ""Dave"" Lyons",M,21,United States,USA,Swimming,Gold
Evan Frank Lysacek,M,24,United States,USA,Figure Skating,Gold
"Stephen John ""Steve"" Lysak",M,35,United States,USA,Canoeing,Gold
Tatyana Viktorovna Lysenko (-Beloborodova),F,28,Russia,RUS,Athletics,Gold
Ma Lin,M,28,China,CHN,Table Tennis,Gold
Ma Lin,M,28,China,CHN,Table Tennis,Gold
Ma Long,M,23,China,CHN,Table Tennis,Gold
Ma Long,M,27,China,CHN,Table Tennis,Gold
Ma Long,M,27,China,CHN,Table Tennis,Gold
Ma Yanhong,F,21,China,CHN,Gymnastics,Gold
"Jacob Arnold ""Koos"" Maasdijk",M,27,Netherlands,NED,Rowing,Gold
Satoko Mabuchi,F,26,Japan,JPN,Softball,Gold
"John Crawford William ""Jack"" MacBryan",M,27,Great Britain,GBR,Hockey,Gold
Fiona MacDonald (Brown-),F,27,Great Britain,GBR,Curling,Gold
Joseph Oliver MacDonald,M,20,United States,USA,Athletics,Gold
Christopher Paul MacDonald,M,24,New Zealand,NZL,Canoeing,Gold
Christopher Paul MacDonald,M,24,New Zealand,NZL,Canoeing,Gold
Christopher Paul MacDonald,M,28,New Zealand,NZL,Canoeing,Gold
Iain Somerled MacDonald-Smith,M,23,Great Britain,GBR,Sailing,Gold
Roger Machado Morales,M,30,Cuba,CUB,Baseball,Gold
"Allan ""Al"" MacInnis",M,38,Canada,CAN,Ice Hockey,Gold
Henry Maitland Macintosh,M,19,Great Britain,GBR,Athletics,Gold
Eugen Mack,M,20,Switzerland,SUI,Gymnastics,Gold
Eugen Mack,M,20,Switzerland,SUI,Gymnastics,Gold
"Timothy ""Tim"" Mack",M,31,United States,USA,Athletics,Gold
Linda June MacKenzie (-Single),F,24,Australia,AUS,Swimming,Gold
"Clarence Douglas ""Clary"" MacKerrow",M,31,Canada,CAN,Lacrosse,Gold
"Archibald A. ""Archie"" MacKinnon",M,19,Canada,CAN,Rowing,Gold
"Stephen Albert ""Steve"" Macknowski",M,26,United States,USA,Canoeing,Gold
Cyril Winthrop Mackworth-Praed,M,32,Great Britain,GBR,Shooting,Gold
"Rosannagh ""Rosie"" MacLennan",F,23,Canada,CAN,Trampolining,Gold
"Rosannagh ""Rosie"" MacLennan",F,27,Canada,CAN,Trampolining,Gold
Carla MacLeod,F,23,Canada,CAN,Ice Hockey,Gold
Carla MacLeod,F,27,Canada,CAN,Ice Hockey,Gold
Hannah Louise Macleod,F,32,Great Britain,GBR,Hockey,Gold
Shannon Ann MacMillan,F,21,United States,USA,Football,Gold
James Alexander Macnabb,M,22,Great Britain,GBR,Rowing,Gold
Camelia Macoviciuc-Mihalcea,F,28,Romania,ROU,Rowing,Gold
Natalia Madaj,F,28,Poland,POL,Rowing,Gold
Norbert Madaras,M,24,Hungary,HUN,Water Polo,Gold
Norbert Madaras,M,28,Hungary,HUN,Water Polo,Gold
Giuseppe Maddaloni,M,24,Italy,ITA,Judo,Gold
"Elizabeth ""Beezie"" Madden (Patton-)",F,40,United States,USA,Equestrianism,Gold
"Elizabeth ""Beezie"" Madden (Patton-)",F,44,United States,USA,Equestrianism,Gold
Helene Emma Madison,F,19,United States,USA,Swimming,Gold
Helene Emma Madison,F,19,United States,USA,Swimming,Gold
Helene Emma Madison,F,19,United States,USA,Swimming,Gold
Tianna Madison-Bartoletta,F,26,United States,USA,Athletics,Gold
Tianna Madison-Bartoletta,F,30,United States,USA,Athletics,Gold
Tianna Madison-Bartoletta,F,30,United States,USA,Athletics,Gold
Gitte Madsen,F,27,Denmark,DEN,Handball,Gold
Lars Jrgen Madsen,M,28,Denmark,DEN,Shooting,Gold
Lars Jrgen Madsen,M,48,Denmark,DEN,Shooting,Gold
Svend Meulengracht Madsen (Meulengracht-Madsen-),M,23,Denmark,DEN,Gymnastics,Gold
Echiko Maeda (-Tamura),F,24,Japan,JPN,Volleyball,Gold
Hideko Maehata (-Hyodo),F,22,Japan,JPN,Swimming,Gold
Vincenzo Maenza,M,22,Italy,ITA,Wrestling,Gold
Vincenzo Maenza,M,26,Italy,ITA,Wrestling,Gold
Michele Maffei,M,25,Italy,ITA,Fencing,Gold
Dniel Magay,M,24,Hungary,HUN,Fencing,Gold
Maurren Higa Maggi,F,32,Brazil,BRA,Athletics,Gold
Jean-Claude Magnan,M,27,France,FRA,Fencing,Gold
Primo Magnani,M,28,Italy,ITA,Cycling,Gold
Khadzhimurat Saygidmagomedovich Magomedov,M,22,Russia,RUS,Wrestling,Gold
"Paoletta ""Paola"" Magoni-Sforza",F,19,Italy,ITA,Alpine Skiing,Gold
Zoltn Magyar,M,22,Hungary,HUN,Gymnastics,Gold
Zoltn Magyar,M,26,Hungary,HUN,Gymnastics,Gold
"Benjamin Richard ""Ben"" Maher",M,29,Great Britain,GBR,Equestrianism,Gold
Kim Ly Maher,F,24,United States,USA,Softball,Gold
Walter Mahlendorf,M,25,Germany,GER,Athletics,Gold
"Phillip Ferdinand ""Phil"" Mahre",M,26,United States,USA,Alpine Skiing,Gold
"Johann Adolf Friedrich ""Hans"" Maier",M,27,Germany,GER,Rowing,Gold
Leonie Rebekka Maier,F,23,Germany,GER,Football,Gold
Gerald Grant Main,M,24,Canada,CAN,Rowing,Gold
Luigi Maiocco,M,19,Italy,ITA,Gymnastics,Gold
Luigi Maiocco,M,27,Italy,ITA,Gymnastics,Gold
Luigi Maiocco,M,31,Italy,ITA,Gymnastics,Gold
Anna Maiques i Dern,F,24,Spain,ESP,Hockey,Gold
Barry John Maister,M,28,New Zealand,NZL,Hockey,Gold
Selwyn Gerald Maister,M,30,New Zealand,NZL,Hockey,Gold
Clover Margaret Maitland,F,24,Australia,AUS,Hockey,Gold
Clover Margaret Maitland,F,28,Australia,AUS,Hockey,Gold
Tomasz Majewski,M,26,Poland,POL,Athletics,Gold
Tomasz Majewski,M,30,Poland,POL,Athletics,Gold
Mario Majoni,M,38,Italy,ITA,Water Polo,Gold
Istvn Majoros,M,30,Hungary,HUN,Wrestling,Gold
Alina Andreyevna Makarenko,F,17,Russia,RUS,Rhythmic Gymnastics,Gold
Igor Viktorovich Makarov,M,25,Belarus,BLR,Judo,Gold
Vadim Gennadyevich Makhnyov,M,28,Belarus,BLR,Canoeing,Gold
Lucas Markian Makowsky,M,22,Canada,CAN,Speed Skating,Gold
Anastasiya Ivanovna Maksimova,F,25,Russia,RUS,Rhythmic Gymnastics,Gold
Giusi Letizia Malato,F,33,Italy,ITA,Water Polo,Gold
"Thomas Andrew ""Tom"" Malchow",M,24,United States,USA,Swimming,Gold
Bronisaw Malinowski,M,29,Poland,POL,Athletics,Gold
Bernard Robert Malivoire,M,14,France,FRA,Rowing,Gold
"Henry William ""Harry"" Mallin",M,27,Great Britain,GBR,Boxing,Gold
"Henry William ""Harry"" Mallin",M,31,Great Britain,GBR,Boxing,Gold
George Herbert Leigh Mallory,M,37,Great Britain,GBR,Alpinism,Gold
"Norbert Joseph ""Norm"" Malloy",M,26,Canada,CAN,Ice Hockey,Gold
Karl Oskar Ragnar Malm,M,18,Sweden,SWE,Cycling,Gold
Erik Malmberg,M,35,Sweden,SWE,Wrestling,Gold
Hkan Malmrot,M,19,Sweden,SWE,Swimming,Gold
Hkan Malmrot,M,19,Sweden,SWE,Swimming,Gold
Karl Malone,M,29,United States,USA,Basketball,Gold
Karl Malone,M,32,United States,USA,Basketball,Gold
"Maicel Donee Malone (-Wallace, -Trapp)",F,27,United States,USA,Athletics,Gold
Dmitry Vladimirovich Malyshko,M,26,Russia,RUS,Biathlon,Gold
Ilgar Yashar-ogly Mamedov,M,30,Russia,RUS,Fencing,Gold
Margarita Abdullayevna Mamun,F,20,Russia,RUS,Rhythmic Gymnastics,Gold
Florent Manaudou,M,21,France,FRA,Swimming,Gold
Laure Manaudou,F,17,France,FRA,Swimming,Gold
Graziano Mancinelli,M,35,Italy,ITA,Equestrianism,Gold
Julia Marie Mancuso (-Fish),F,21,United States,USA,Alpine Skiing,Gold
Duan Mandi,M,22,Serbia,SRB,Water Polo,Gold
Milica Mandi,F,20,Serbia,SRB,Taekwondo,Gold
Ferdinando Mandrini,M,22,Italy,ITA,Gymnastics,Gold
Ferdinando Mandrini,M,26,Italy,ITA,Gymnastics,Gold
Maiya Salakharovna Maneza,F,26,Kazakhstan,KAZ,Weightlifting,Gold
Josef Manger,M,23,Germany,GER,Weightlifting,Gold
Giovanni Mangiante,M,18,Italy,ITA,Gymnastics,Gold
"Lorenzo ""Renzo"" Mangiante",M,21,Italy,ITA,Gymnastics,Gold
"Lorenzo ""Renzo"" Mangiante",M,29,Italy,ITA,Gymnastics,Gold
Dario Mangiarotti,M,36,Italy,ITA,Fencing,Gold
Edoardo Mangiarotti,M,17,Italy,ITA,Fencing,Gold
Edoardo Mangiarotti,M,33,Italy,ITA,Fencing,Gold
Edoardo Mangiarotti,M,33,Italy,ITA,Fencing,Gold
Edoardo Mangiarotti,M,37,Italy,ITA,Fencing,Gold
Edoardo Mangiarotti,M,37,Italy,ITA,Fencing,Gold
Edoardo Mangiarotti,M,41,Italy,ITA,Fencing,Gold
Nazyr Yunuzovich Mankiyev,M,23,Russia,RUS,Wrestling,Gold
Shelley Isabel Mann,F,19,United States,USA,Swimming,Gold
Harold Thompson Mann,M,21,United States,USA,Swimming,Gold
Caesar J. (Cesare-) Mannelli (Rambaldi-),M,26,United States,USA,Rugby,Gold
Luigi Mannelli,M,21,Italy,ITA,Water Polo,Gold
Paul Christian Manning,M,33,Great Britain,GBR,Cycling,Gold
Trevor Wayne Manning,M,30,New Zealand,NZL,Hockey,Gold
Madeline Manning-Jackson (-Mims),F,20,United States,USA,Athletics,Gold
Lia Manoliu (-Raica),F,36,Romania,ROU,Athletics,Gold
"Charles David ""Charley"" Manring",M,22,United States,USA,Rowing,Gold
Domingo Jos Manrique de Lara Peate,M,30,Spain,ESP,Sailing,Gold
Juan Manrique Garca,M,28,Cuba,CUB,Baseball,Gold
Silvia Manrique Prez,F,19,Spain,ESP,Hockey,Gold
Julius Carl Fritz Manteuffel,M,21,Germany,GER,Gymnastics,Gold
Julius Carl Fritz Manteuffel,M,21,Germany,GER,Gymnastics,Gold
Simone Ashley Manuel,F,20,United States,USA,Swimming,Gold
Simone Ashley Manuel,F,20,United States,USA,Swimming,Gold
George Edward Mara,M,26,Canada,CAN,Ice Hockey,Gold
"Elisabeth ""Eli"" Maragall i Verge",F,21,Spain,ESP,Hockey,Gold
Rogelio Marcelo Garca,M,27,Cuba,CUB,Boxing,Gold
Walter Frederick March,M,37,Germany,GER,Art Competitions,Gold
Werner Julius March,M,42,Germany,GER,Art Competitions,Gold
"Anthony John ""Tony"" Marchant",M,19,Australia,AUS,Cycling,Gold
Libero Turiddu Marchini,M,22,Italy,ITA,Football,Gold
Charles Sholto Wyndham Marcon,M,30,Great Britain,GBR,Hockey,Gold
Peder Andreas Marinus Marcussen,M,25,Denmark,DEN,Gymnastics,Gold
Tams Mrcz,M,26,Hungary,HUN,Water Polo,Gold
Igor Mareni,M,30,Croatia,CRO,Sailing,Gold
Yekaterina Aleksandrovna Marennikova,F,34,Russia,RUS,Handball,Gold
Melanie Margalis,F,24,United States,USA,Swimming,Gold
"Marianne ""Mari"" Steinbrecher",F,24,Brazil,BRA,Volleyball,Gold
Carolina Mara Marn Marn,F,23,Spain,ESP,Badminton,Gold
Marco Marin,M,21,Italy,ITA,Fencing,Gold
Tecla Marinescu-Borcnea (Afanasie-),F,24,Romania,ROU,Canoeing,Gold
Fiorenzo Marini,M,46,Italy,ITA,Fencing,Gold
Charles Lonce Pierre Marion,M,45,France,FRA,Equestrianism,Gold
Russell Andrew Mark,M,32,Australia,AUS,Shooting,Gold
